"sales_month","kind_of_business","sales","yearly_sales","pctg_yearly"
"1996-03-01","Men's clothing stores",708,9546,7.4167190446260214
"1996-03-01","Women's clothing stores",2193,28238,7.7661307458035272
"1996-04-01","Women's clothing stores",2346,28238,8.3079538210921453
"1996-04-01","Men's clothing stores",718,9546,7.5214749633354285
"1996-05-01","Women's clothing stores",2552,28238,9.0374672427225724
"1996-05-01","Men's clothing stores",774,9546,8.1081081081081081
"1996-06-01","Women's clothing stores",2375,28238,8.4106523124867200
"1996-06-01","Men's clothing stores",759,9546,7.9509742300439975
"1996-07-01","Women's clothing stores",2072,28238,7.3376301437778880
"1996-07-01","Men's clothing stores",660,9546,6.9138906348208674
"1996-08-01","Men's clothing stores",761,9546,7.9719254137858789
"1996-08-01","Women's clothing stores",2353,28238,8.3327431121184220
"1996-09-01","Women's clothing stores",2276,28238,8.0600609108293789
"1996-09-01","Men's clothing stores",744,9546,7.7938403519798869
"1996-10-01","Women's clothing stores",2413,28238,8.5452227494865075
"1996-10-01","Men's clothing stores",793,9546,8.3071443536559816
"1996-11-01","Women's clothing stores",2594,28238,9.1862029888802323
"1996-11-01","Men's clothing stores",919,9546,9.6270689293945108
"1996-12-01","Women's clothing stores",3665,28238,12.9789645159005595
"1996-12-01","Men's clothing stores",1420,9546,14.8753404567358056
"1997-01-01","Men's clothing stores",697,10069,6.9222365676829874
"1997-01-01","Women's clothing stores",1699,27822,6.1066781683559773
"1997-02-01","Women's clothing stores",1813,27822,6.5164258500467256
"1997-02-01","Men's clothing stores",633,10069,6.2866223060879928
"1997-03-01","Men's clothing stores",746,10069,7.4088787367166551
"1997-03-01","Women's clothing stores",2353,27822,8.4573359212134282
"1997-04-01","Men's clothing stores",716,10069,7.1109345515940014
"1997-04-01","Women's clothing stores",2227,27822,8.0044569046078643
"1997-05-01","Men's clothing stores",809,10069,8.0345615254742278
"1997-05-01","Women's clothing stores",2429,27822,8.7305010423405938
"1997-06-01","Women's clothing stores",2199,27822,7.9038171231399612
"1997-06-01","Men's clothing stores",793,10069,7.8756579600754792
"1997-07-01","Women's clothing stores",2103,27822,7.5587664438214363
"1997-07-01","Men's clothing stores",737,10069,7.3194954811798590
"1997-08-01","Women's clothing stores",2334,27822,8.3890446409316368
"1997-08-01","Men's clothing stores",846,10069,8.4020260204588340
"1997-09-01","Men's clothing stores",761,10069,7.5578508292779819
"1997-09-01","Women's clothing stores",2265,27822,8.1410394651714471
"1997-10-01","Men's clothing stores",870,10069,8.6403813685569570
"1997-10-01","Women's clothing stores",2358,27822,8.4753073107612681
"1997-11-01","Women's clothing stores",2486,27822,8.9353748831859679
"1997-11-01","Men's clothing stores",987,10069,9.8023636905353064
"1997-12-01","Men's clothing stores",1474,10069,14.6389909623597179
"1997-12-01","Women's clothing stores",3556,27822,12.7812522464236935
"1998-01-01","Women's clothing stores",1722,28332,6.0779330792037272
"1998-01-01","Men's clothing stores",716,10196,7.0223617104746960
"1998-02-01","Women's clothing stores",1767,28332,6.2367640830156713
"1998-02-01","Men's clothing stores",644,10196,6.3162024323264025
"1998-03-01","Women's clothing stores",2194,28332,7.7438938302978964
"1998-03-01","Men's clothing stores",735,10196,7.2087092977638290
"1998-04-01","Men's clothing stores",844,10196,8.2777559827383288
"1998-04-01","Women's clothing stores",2507,28332,8.8486517012565297
"1998-05-01","Women's clothing stores",2512,28332,8.8662995905689680
"1998-05-01","Men's clothing stores",836,10196,8.1992938407218517
"1998-06-01","Men's clothing stores",817,10196,8.0129462534327187
"1998-06-01","Women's clothing stores",2254,28332,7.9556685020471552
"1998-07-01","Women's clothing stores",2222,28332,7.8427220104475505
"1998-07-01","Men's clothing stores",757,10196,7.4244801883091408
"1998-08-01","Men's clothing stores",844,10196,8.2777559827383288
"1998-08-01","Women's clothing stores",2327,28332,8.2133276860087534
"1998-09-01","Women's clothing stores",2244,28332,7.9203727234222787
"1998-09-01","Men's clothing stores",754,10196,7.3950568850529619
"1998-10-01","Women's clothing stores",2422,28332,8.5486375829450798
"1998-10-01","Men's clothing stores",865,10196,8.4837191055315810
"1998-11-01","Women's clothing stores",2531,28332,8.9333615699562332
"1998-11-01","Men's clothing stores",955,10196,9.3664182032169478
"1998-12-01","Women's clothing stores",3630,28332,12.8123676408301567
"1998-12-01","Men's clothing stores",1429,10196,14.0153001176932130
"1999-01-01","Men's clothing stores",684,9667,7.0756180821350988
"1999-01-01","Women's clothing stores",1745,29549,5.9054451927307185
"1999-02-01","Women's clothing stores",1883,29549,6.3724660733019730
"1999-02-01","Men's clothing stores",610,9667,6.3101272369918279
"1999-03-01","Men's clothing stores",708,9667,7.3238853832626461
"1999-03-01","Women's clothing stores",2507,29549,8.4842126637111239
"1999-04-01","Women's clothing stores",2616,29549,8.8530914751768249
"1999-04-01","Men's clothing stores",812,9667,8.3997103548153512
"1999-05-01","Women's clothing stores",2687,29549,9.0933703340214559
"1999-05-01","Men's clothing stores",803,9667,8.3066101168925209
"1999-06-01","Women's clothing stores",2405,29549,8.1390233172019358
"1999-06-01","Men's clothing stores",791,9667,8.1824764663287473
"1999-07-01","Women's clothing stores",2303,29549,7.7938339706927476
"1999-07-01","Men's clothing stores",723,9667,7.4790524464673632
"1999-08-01","Men's clothing stores",789,9667,8.1617875245681183
"1999-08-01","Women's clothing stores",2407,29549,8.1457917357609395
"1999-09-01","Men's clothing stores",714,9667,7.3859522085445329
"1999-09-01","Women's clothing stores",2353,29549,7.9630444346678399
"1999-10-01","Men's clothing stores",802,9667,8.2962656460122065
"1999-10-01","Women's clothing stores",2440,29549,8.2574706419845003
"1999-11-01","Women's clothing stores",2564,29549,8.6771125926427290
"1999-11-01","Men's clothing stores",896,9667,9.2686459087617668
"1999-12-01","Women's clothing stores",3639,29549,12.3151375681072117
"1999-12-01","Men's clothing stores",1335,9667,13.8098686252198200
"2000-01-01","Women's clothing stores",1682,31447,5.3486819092441250
"2000-01-01","Men's clothing stores",635,9507,6.6792889449879036
"2000-02-01","Men's clothing stores",611,9507,6.4268433785631640
"2000-02-01","Women's clothing stores",1991,31447,6.3312875632015773
"2000-03-01","Women's clothing stores",2670,31447,8.4904760390498299
"2000-03-01","Men's clothing stores",707,9507,7.4366256442621226
"2000-04-01","Women's clothing stores",2706,31447,8.6049543676662321
"2000-04-01","Men's clothing stores",759,9507,7.9835910381823919
"2000-05-01","Women's clothing stores",2810,31447,8.9356695392247273
"2000-05-01","Men's clothing stores",770,9507,8.0992952561270643
"2000-06-01","Women's clothing stores",2564,31447,8.1534009603459789
"2000-06-01","Men's clothing stores",750,9507,7.8889239507731145
"2000-07-01","Women's clothing stores",2382,31447,7.5746494101186123
"2000-07-01","Men's clothing stores",719,9507,7.5628484274744925
"2000-08-01","Men's clothing stores",789,9507,8.2991479962133165
"2000-08-01","Women's clothing stores",2640,31447,8.3950774318694947
"2000-09-01","Men's clothing stores",751,9507,7.8994425160408120
"2000-09-01","Women's clothing stores",2658,31447,8.4523165961776958
"2000-10-01","Women's clothing stores",2648,31447,8.4205170604509174
"2000-10-01","Men's clothing stores",787,9507,8.2781108656779215
"2000-11-01","Women's clothing stores",2823,31447,8.9770089356695392
"2000-11-01","Men's clothing stores",897,9507,9.4351530451246450
"2000-12-01","Men's clothing stores",1332,9507,14.0107289365730514
"2000-12-01","Women's clothing stores",3873,31447,12.3159601869812701
"2001-01-01","Women's clothing stores",1946,31453,6.1870091883127206
"2001-01-01","Men's clothing stores",620,8625,7.1884057971014493
"2001-02-01","Women's clothing stores",2154,31453,6.8483133564365879
"2001-02-01","Men's clothing stores",588,8625,6.8173913043478261
"2001-03-01","Women's clothing stores",2671,31453,8.4920357358598544
"2001-03-01","Men's clothing stores",681,8625,7.8956521739130435
"2001-04-01","Men's clothing stores",675,8625,7.8260869565217391
"2001-04-01","Women's clothing stores",2801,31453,8.9053508409372715
"2001-05-01","Women's clothing stores",2747,31453,8.7336661049820367
"2001-05-01","Men's clothing stores",710,8625,8.2318840579710145
"2001-06-01","Women's clothing stores",2507,31453,7.9706228340698820
"2001-06-01","Men's clothing stores",702,8625,8.1391304347826087
"2001-07-01","Men's clothing stores",626,8625,7.2579710144927536
"2001-07-01","Women's clothing stores",2311,31453,7.3474708294916224
"2001-08-01","Women's clothing stores",2661,31453,8.4602422662385146
"2001-08-01","Men's clothing stores",743,8625,8.6144927536231884
"2001-09-01","Women's clothing stores",2394,31453,7.6113566273487426
"2001-09-01","Men's clothing stores",610,8625,7.0724637681159420
"2001-10-01","Women's clothing stores",2615,31453,8.3139923059803516
"2001-10-01","Men's clothing stores",704,8625,8.1623188405797101
"2001-11-01","Men's clothing stores",793,8625,9.1942028985507246
"2001-11-01","Women's clothing stores",2786,31453,8.8576606365052618
"2001-12-01","Women's clothing stores",3860,31453,12.2722792738371538
"2001-12-01","Men's clothing stores",1173,8625,13.6000000000000000
"2002-01-01","Women's clothing stores",1987,31246,6.3592139793893618
"2002-01-01","Men's clothing stores",540,8112,6.6568047337278107
"2002-02-01","Men's clothing stores",534,8112,6.5828402366863905
"2002-02-01","Women's clothing stores",2159,31246,6.9096844396082699
"2002-03-01","Women's clothing stores",2779,31246,8.8939384241182871
"2002-03-01","Men's clothing stores",657,8112,8.0991124260355030
"2002-04-01","Men's clothing stores",632,8112,7.7909270216962525
"2002-04-01","Women's clothing stores",2680,31246,8.5770978685271715
"2002-05-01","Women's clothing stores",2755,31246,8.8171285924598349
"2002-05-01","Men's clothing stores",665,8112,8.1977317554240631
"2002-06-01","Men's clothing stores",650,8112,8.0128205128205128
"2002-06-01","Women's clothing stores",2478,31246,7.9306151187351981
"2002-07-01","Women's clothing stores",2260,31246,7.2329258145042565
"2002-07-01","Men's clothing stores",592,8112,7.2978303747534517
"2002-08-01","Women's clothing stores",2538,31246,8.1226396978813288
"2002-08-01","Men's clothing stores",695,8112,8.5675542406311637
"2002-09-01","Men's clothing stores",604,8112,7.4457593688362919
"2002-09-01","Women's clothing stores",2373,31246,7.5945721052294694
"2002-10-01","Men's clothing stores",669,8112,8.2470414201183432
"2002-10-01","Women's clothing stores",2531,31246,8.1002368303142802
"2002-11-01","Women's clothing stores",2740,31246,8.7691224476733022
"2002-11-01","Men's clothing stores",761,8112,9.3811637080867850
"2002-12-01","Men's clothing stores",1113,8112,13.7204142011834320
"2002-12-01","Women's clothing stores",3966,31246,12.6928246815592396
"2003-01-01","Men's clothing stores",539,8249,6.5341253485270942
"2003-01-01","Women's clothing stores",2055,32565,6.3104560110548135
"2003-02-01","Men's clothing stores",498,8249,6.0370954055036974
"2003-02-01","Women's clothing stores",2091,32565,6.4210041455550438
"2003-03-01","Men's clothing stores",601,8249,7.2857316038307674
"2003-03-01","Women's clothing stores",2619,32565,8.0423767848917550
"2003-04-01","Women's clothing stores",2724,32565,8.3648088438507600
"2003-04-01","Men's clothing stores",631,8249,7.6494120499454479
"2003-05-01","Men's clothing stores",679,8249,8.2313007637289368
"2003-05-01","Women's clothing stores",2813,32565,8.6381083985874405
"2003-06-01","Men's clothing stores",657,8249,7.9646017699115044
"2003-06-01","Women's clothing stores",2536,32565,7.7875019192384462
"2003-07-01","Men's clothing stores",602,8249,7.2978542853679234
"2003-07-01","Women's clothing stores",2450,32565,7.5234147090434516
"2003-08-01","Women's clothing stores",2597,32565,7.9748195915860587
"2003-08-01","Men's clothing stores",741,8249,8.9829070190326100
"2003-09-01","Men's clothing stores",625,8249,7.5766759607225118
"2003-09-01","Women's clothing stores",2627,32565,8.0669430370029172
"2003-10-01","Men's clothing stores",704,8249,8.5343678021578373
"2003-10-01","Women's clothing stores",2793,32565,8.5766927683095348
"2003-11-01","Men's clothing stores",781,8249,9.4678142805188508
"2003-11-01","Women's clothing stores",2951,32565,9.0618762475049900
"2003-12-01","Women's clothing stores",4309,32565,13.2319975433747889
"2003-12-01","Men's clothing stores",1191,8249,14.4381137107528185
"2004-01-01","Women's clothing stores",2267,34954,6.4856668764662127
"2004-01-01","Men's clothing stores",574,8566,6.7009105766985758
"2004-02-01","Men's clothing stores",559,8566,6.5257996731263133
"2004-02-01","Women's clothing stores",2402,34954,6.8718887680952108
"2004-03-01","Men's clothing stores",637,8566,7.4363763717020780
"2004-03-01","Women's clothing stores",2915,34954,8.3395319562854037
"2004-04-01","Women's clothing stores",3023,34954,8.6485094695886022
"2004-04-01","Men's clothing stores",674,8566,7.8683166005136587
"2004-05-01","Women's clothing stores",3005,34954,8.5970132173714024
"2004-05-01","Men's clothing stores",675,8566,7.8799906607518095
"2004-06-01","Women's clothing stores",2777,34954,7.9447273559535389
"2004-06-01","Men's clothing stores",657,8566,7.6698575764650946
"2004-07-01","Men's clothing stores",639,8566,7.4597244921783796
