"sales_month","kind_of_business","sales","yearly_sales","pctg_yearly"
"2010-03-01","Women's clothing stores",3293,37690,8.7370655346245689
"2010-04-01","Women's clothing stores",3334,37690,8.8458477049615283
"2010-04-01","Men's clothing stores",630,7285,8.6479066575154427
"2010-05-01","Women's clothing stores",3308,37690,8.7768638896258955
"2010-05-01","Men's clothing stores",627,7285,8.6067261496225120
"2010-06-01","Women's clothing stores",2995,37690,7.9464048819315468
"2010-06-01","Men's clothing stores",598,7285,8.2086479066575154
"2010-07-01","Men's clothing stores",544,7285,7.4673987645847632
"2010-07-01","Women's clothing stores",2847,37690,7.5537277792517909
"2010-08-01","Women's clothing stores",2960,37690,7.8535420535951181
"2010-08-01","Men's clothing stores",517,7285,7.0967741935483871
"2010-09-01","Men's clothing stores",563,7285,7.7282086479066575
"2010-09-01","Women's clothing stores",3061,37690,8.1215176439373839
"2010-10-01","Men's clothing stores",634,7285,8.7028140013726836
"2010-10-01","Women's clothing stores",3214,37690,8.5274608649509154
"2010-11-01","Men's clothing stores",669,7285,9.1832532601235415
"2010-11-01","Women's clothing stores",3454,37690,9.1642345449721412
"2010-12-01","Women's clothing stores",4440,37690,11.7803130803926771
"2010-12-01","Men's clothing stores",988,7285,13.5621139327385038
"2011-01-01","Women's clothing stores",2345,40048,5.8554734318817419
"2011-01-01","Men's clothing stores",487,7860,6.1959287531806616
"2011-02-01","Men's clothing stores",497,7860,6.3231552162849873
"2011-02-01","Women's clothing stores",2753,40048,6.8742508989212944
"2011-03-01","Men's clothing stores",599,7860,7.6208651399491094
"2011-03-01","Women's clothing stores",3449,40048,8.6121654015181782
"2011-04-01","Women's clothing stores",3582,40048,8.9442668797443068
"2011-04-01","Men's clothing stores",690,7860,8.7786259541984733
"2011-05-01","Men's clothing stores",677,7860,8.6132315521628499
"2011-05-01","Women's clothing stores",3508,40048,8.7594886136636037
"2011-06-01","Men's clothing stores",661,7860,8.4096692111959288
"2011-06-01","Women's clothing stores",3285,40048,8.2026568118258090
"2011-07-01","Women's clothing stores",3060,40048,7.6408310027966440
"2011-07-01","Men's clothing stores",587,7860,7.4681933842239186
"2011-08-01","Women's clothing stores",3027,40048,7.5584298841390332
"2011-08-01","Men's clothing stores",549,7860,6.9847328244274809
"2011-09-01","Men's clothing stores",643,7860,8.1806615776081425
"2011-09-01","Women's clothing stores",3301,40048,8.2426088693567719
"2011-10-01","Men's clothing stores",682,7860,8.6768447837150127
"2011-10-01","Women's clothing stores",3297,40048,8.2326208549740312
"2011-11-01","Men's clothing stores",707,7860,8.9949109414758270
"2011-11-01","Women's clothing stores",3625,40048,9.0516380343587695
"2011-12-01","Women's clothing stores",4816,40048,12.0255693168198162
"2011-12-01","Men's clothing stores",1081,7860,13.7531806615776081
"2012-01-01","Men's clothing stores",525,8272,6.3467117988394584
"2012-01-01","Women's clothing stores",2544,41794,6.0869981337034024
"2012-02-01","Women's clothing stores",3036,41794,7.2642006029573623
"2012-02-01","Men's clothing stores",545,8272,6.5884912959381044
"2012-03-01","Men's clothing stores",623,8272,7.5314313346228240
"2012-03-01","Women's clothing stores",3840,41794,9.1879217112504187
"2012-04-01","Men's clothing stores",711,8272,8.5952611218568665
"2012-04-01","Women's clothing stores",3592,41794,8.5945351007321625
"2012-05-01","Women's clothing stores",3693,41794,8.8361965832416136
"2012-05-01","Men's clothing stores",725,8272,8.7645067698259188
"2012-06-01","Women's clothing stores",3374,41794,8.0729291285830502
"2012-06-01","Men's clothing stores",703,8272,8.4985493230174081
"2012-07-01","Women's clothing stores",3094,41794,7.4029765038043738
"2012-07-01","Men's clothing stores",613,8272,7.4105415860735010
"2012-08-01","Women's clothing stores",3284,41794,7.8575872134756185
"2012-08-01","Men's clothing stores",619,8272,7.4830754352030948
"2012-09-01","Women's clothing stores",3339,41794,7.9891850504857157
"2012-09-01","Men's clothing stores",687,8272,8.3051257253384913
"2012-10-01","Men's clothing stores",710,8272,8.5831721470019342
"2012-10-01","Women's clothing stores",3482,41794,8.3313394267119682
"2012-11-01","Women's clothing stores",3823,41794,9.1472460161745705
"2012-11-01","Men's clothing stores",731,8272,8.8370406189555126
"2012-12-01","Women's clothing stores",4693,41794,11.2288845288797435
"2012-12-01","Men's clothing stores",1080,8272,13.0560928433268859
"2013-01-01","Women's clothing stores",2664,41787,6.3751884557398234
"2013-01-01","Men's clothing stores",599,8670,6.9088811995386390
"2013-02-01","Men's clothing stores",560,8670,6.4590542099192618
"2013-02-01","Women's clothing stores",2806,41787,6.7150070596118410
"2013-03-01","Women's clothing stores",3733,41787,8.9334003398186039
"2013-03-01","Men's clothing stores",682,8670,7.8662053056516724
"2013-04-01","Women's clothing stores",3511,41787,8.4021346351736186
"2013-04-01","Men's clothing stores",718,8670,8.2814302191464821
"2013-05-01","Men's clothing stores",749,8670,8.6389850057670127
"2013-05-01","Women's clothing stores",3744,41787,8.9597243161748869
"2013-06-01","Women's clothing stores",3273,41787,7.8325795103740398
"2013-06-01","Men's clothing stores",678,8670,7.8200692041522491
"2013-07-01","Men's clothing stores",648,8670,7.4740484429065744
"2013-07-01","Women's clothing stores",3184,41787,7.6195946107641132
"2013-08-01","Women's clothing stores",3484,41787,8.3375212386627420
"2013-08-01","Men's clothing stores",687,8670,7.9238754325259516
"2013-09-01","Women's clothing stores",3293,41787,7.8804412855672817
"2013-09-01","Men's clothing stores",681,8670,7.8546712802768166
"2013-10-01","Men's clothing stores",785,8670,9.0542099192618224
"2013-10-01","Women's clothing stores",3515,41787,8.4117069902122670
"2013-11-01","Men's clothing stores",798,8670,9.2041522491349481
"2013-11-01","Women's clothing stores",3830,41787,9.1655299495058272
"2013-12-01","Women's clothing stores",4750,41787,11.3671716083949554
"2013-12-01","Men's clothing stores",1085,8670,12.5144175317185698
"2014-01-01","Women's clothing stores",2469,41575,5.9386650631389056
"2014-01-01","Men's clothing stores",573,8870,6.4599774520856821
"2014-02-01","Men's clothing stores",636,8870,7.1702367531003382
"2014-02-01","Women's clothing stores",2823,41575,6.7901383042693927
"2014-03-01","Men's clothing stores",702,8870,7.9143179255918828
"2014-03-01","Women's clothing stores",3548,41575,8.5339747444377631
"2014-04-01","Women's clothing stores",3603,41575,8.6662657847263981
"2014-04-01","Men's clothing stores",785,8870,8.8500563697857948
"2014-05-01","Men's clothing stores",801,8870,9.0304396843291995
"2014-05-01","Women's clothing stores",3774,41575,9.0775706554419723
"2014-06-01","Women's clothing stores",3183,41575,7.6560432952495490
"2014-06-01","Men's clothing stores",702,8870,7.9143179255918828
"2014-07-01","Women's clothing stores",3178,41575,7.6440168370414913
"2014-07-01","Men's clothing stores",655,8870,7.3844419391206313
"2014-08-01","Men's clothing stores",692,8870,7.8015783540022548
"2014-08-01","Women's clothing stores",3455,41575,8.3102826217678894
"2014-09-01","Women's clothing stores",3247,41575,7.8099819603126879
"2014-09-01","Men's clothing stores",694,8870,7.8241262683201804
"2014-10-01","Women's clothing stores",3484,41575,8.3800360793746242
"2014-10-01","Men's clothing stores",757,8870,8.5343855693348365
"2014-11-01","Men's clothing stores",803,8870,9.0529875986471251
"2014-11-01","Women's clothing stores",3859,41575,9.2820204449789537
"2014-12-01","Women's clothing stores",4952,41575,11.9110042092603728
"2014-12-01","Men's clothing stores",1070,8870,12.0631341600901917
"2015-01-01","Women's clothing stores",2512,41065,6.1171313770851090
"2015-01-01","Men's clothing stores",581,8810,6.5947786606129398
"2015-02-01","Men's clothing stores",633,8810,7.1850170261066969
"2015-02-01","Women's clothing stores",2762,41065,6.7259223182759041
"2015-03-01","Women's clothing stores",3545,41065,8.6326555460854742
"2015-03-01","Men's clothing stores",699,8810,7.9341657207718502
"2015-04-01","Men's clothing stores",767,8810,8.7060158910329171
"2015-04-01","Women's clothing stores",3458,41065,8.4207962985510776
"2015-05-01","Men's clothing stores",799,8810,9.0692395005675369
"2015-05-01","Women's clothing stores",3746,41065,9.1221234628028735
"2015-06-01","Men's clothing stores",716,8810,8.1271282633371169
"2015-06-01","Women's clothing stores",3231,41065,7.8680141239498356
"2015-07-01","Women's clothing stores",3181,41065,7.7462559357116766
"2015-07-01","Men's clothing stores",661,8810,7.5028376844494892
"2015-08-01","Women's clothing stores",3383,41065,8.2381590161938390
"2015-08-01","Men's clothing stores",713,8810,8.0930760499432463
"2015-09-01","Women's clothing stores",3164,41065,7.7048581517107025
"2015-09-01","Men's clothing stores",691,8810,7.8433598183881952
"2015-10-01","Women's clothing stores",3454,41065,8.4110556434920248
"2015-10-01","Men's clothing stores",744,8810,8.4449489216799092
"2015-11-01","Men's clothing stores",752,8810,8.5357548240635641
"2015-11-01","Women's clothing stores",3719,41065,9.0563740411542676
"2015-12-01","Men's clothing stores",1054,8810,11.9636776390465380
"2015-12-01","Women's clothing stores",4910,41065,11.9566540849872154
"2016-01-01","Women's clothing stores",2477,40845,6.0643897661892521
"2016-01-01","Men's clothing stores",558,8494,6.5693430656934307
"2016-02-01","Men's clothing stores",621,8494,7.3110430892394632
"2016-02-01","Women's clothing stores",2939,40845,7.1954951646468356
"2016-03-01","Women's clothing stores",3659,40845,8.9582568245807320
"2016-03-01","Men's clothing stores",706,8494,8.3117494702142689
"2016-04-01","Women's clothing stores",3519,40845,8.6154976129269188
"2016-04-01","Men's clothing stores",729,8494,8.5825288438898046
"2016-05-01","Men's clothing stores",771,8494,9.0769955262538262
"2016-05-01","Women's clothing stores",3606,40845,8.8284979801689313
"2016-06-01","Women's clothing stores",3240,40845,7.9324274697025340
"2016-06-01","Men's clothing stores",718,8494,8.4530256651754179
"2016-07-01","Men's clothing stores",628,8494,7.3934542029668001
"2016-07-01","Women's clothing stores",3141,40845,7.6900477414616232
"2016-08-01","Women's clothing stores",3388,40845,8.2947729220222793
"2016-08-01","Men's clothing stores",666,8494,7.8408288203437721
"2016-09-01","Women's clothing stores",3170,40845,7.7610478638756274
"2016-09-01","Men's clothing stores",681,8494,8.0174240640452084
"2016-10-01","Men's clothing stores",691,8494,8.1351542265128326
"2016-10-01","Women's clothing stores",3274,40845,8.0156689925327457
"2016-11-01","Men's clothing stores",730,8494,8.5943018601365670
"2016-11-01","Women's clothing stores",3718,40845,9.1027053494919819
"2016-12-01","Women's clothing stores",4714,40845,11.5411923124005386
"2016-12-01","Men's clothing stores",995,8494,11.7141511655286084
"2017-01-01","Women's clothing stores",2454,40660,6.0354156419085096
"2017-01-01","Men's clothing stores",559,8298,6.7365630272354784
"2017-02-01","Women's clothing stores",2763,40660,6.7953762911952779
"2017-02-01","Men's clothing stores",578,8298,6.9655338635815859
"2017-03-01","Men's clothing stores",715,8298,8.6165341046035189
"2017-03-01","Women's clothing stores",3485,40660,8.5710772257747172
"2017-04-01","Women's clothing stores",3624,40660,8.9129365469749139
"2017-04-01","Men's clothing stores",746,8298,8.9901181007471680
"2017-05-01","Men's clothing stores",781,8298,9.4119064834899976
"2017-05-01","Women's clothing stores",3616,40660,8.8932611903590753
"2017-06-01","Women's clothing stores",3341,40660,8.2169208066896212
"2017-06-01","Men's clothing stores",717,8298,8.6406362979031092
"2017-07-01","Women's clothing stores",3199,40660,7.8676832267584850
"2017-07-01","Men's clothing stores",614,8298,7.3993733429742107
"2017-08-01","Men's clothing stores",640,8298,7.7127018558688841
"2017-08-01","Women's clothing stores",3293,40660,8.0988686669945893
"2017-09-01","Men's clothing stores",676,8298,8.1465413352615088
"2017-09-01","Women's clothing stores",3122,40660,7.6783079193310379
"2017-10-01","Women's clothing stores",3299,40660,8.1136251844564683
"2017-10-01","Men's clothing stores",662,8298,7.9778259821643770
"2017-11-01","Women's clothing stores",3774,40660,9.2818494835218888
"2017-11-01","Men's clothing stores",699,8298,8.4237165582067968
"2017-12-01","Women's clothing stores",4690,40660,11.5346778160354156
"2017-12-01","Men's clothing stores",911,8298,10.9785490479633647
"2018-01-01","Women's clothing stores",2391,41173,5.8072037500303597
"2018-01-01","Men's clothing stores",528,8208,6.4327485380116959
"2018-02-01","Men's clothing stores",556,8208,6.7738791423001949
"2018-02-01","Women's clothing stores",2721,41173,6.6086998761324169
"2018-03-01","Women's clothing stores",3545,41173,8.6100114152478566
"2018-03-01","Men's clothing stores",689,8208,8.3942495126705653
"2018-04-01","Men's clothing stores",737,8208,8.9790448343079922
"2018-04-01","Women's clothing stores",3429,41173,8.3282733830422850
"2018-05-01","Men's clothing stores",775,8208,9.4420077972709552
"2018-05-01","Women's clothing stores",3805,41173,9.2414932115706895
"2018-06-01","Women's clothing stores",3298,41173,8.0101037087411653
"2018-06-01","Men's clothing stores",696,8208,8.4795321637426901
"2018-07-01","Women's clothing stores",3208,41173,7.7915138561678770
"2018-07-01","Men's clothing stores",588,8208,7.1637426900584795
"2018-08-01","Women's clothing stores",3373,41173,8.1922619192189056
"2018-08-01","Men's clothing stores",637,8208,7.7607212475633528
"2018-09-01","Men's clothing stores",691,8208,8.4186159844054581
"2018-09-01","Women's clothing stores",3178,41173,7.7186505719767809
"2018-10-01","Men's clothing stores",679,8208,8.2724171539961014
"2018-10-01","Women's clothing stores",3521,41173,8.5517207878949797
"2018-11-01","Women's clothing stores",4157,41173,10.0964224127462172
"2018-11-01","Men's clothing stores",742,8208,9.0399610136452242
"2018-12-01","Women's clothing stores",4547,41173,11.0436451072304666
"2018-12-01","Men's clothing stores",890,8208,10.8430799220272904
"2019-01-01","Men's clothing stores",585,7981,7.3299085327653176
"2019-01-01","Women's clothing stores",2511,40861,6.1452240522747852
"2019-02-01","Women's clothing stores",2680,40861,6.5588213700105235
"2019-02-01","Men's clothing stores",514,7981,6.4402957022929457
"2019-03-01","Women's clothing stores",3585,40861,8.7736472430924353
"2019-03-01","Men's clothing stores",642,7981,8.0441047487783486
"2019-04-01","Men's clothing stores",737,7981,9.2344317754667335
"2019-04-01","Women's clothing stores",3604,40861,8.8201463498201219
"2019-05-01","Men's clothing stores",747,7981,9.3597293572234056
"2019-05-01","Women's clothing stores",3807,40861,9.3169525953843518
"2019-06-01","Men's clothing stores",645,7981,8.0816940233053502
"2019-06-01","Women's clothing stores",3272,40861,8.0076356427889675
"2019-07-01","Women's clothing stores",3261,40861,7.9807151073150437
"2019-07-01","Men's clothing stores",581,7981,7.2797895000626488
"2019-08-01","Women's clothing stores",3325,40861,8.1373436773451457
"2019-08-01","Men's clothing stores",617,7981,7.7308607943866683
"2019-09-01","Men's clothing stores",662,7981,8.2946999122916928
"2019-09-01","Women's clothing stores",3080,40861,7.5377499326986613
"2019-10-01","Men's clothing stores",674,7981,8.4450570103996993
"2019-10-01","Women's clothing stores",3390,40861,8.2964195687819681
"2019-11-01","Women's clothing stores",3850,40861,9.4221874158733266
"2019-11-01","Men's clothing stores",714,7981,8.9462473374263877
"2019-12-01","Women's clothing stores",4496,40861,11.0031570446146692
"2019-12-01","Men's clothing stores",863,7981,10.8131813056008019
"2020-01-01","Men's clothing stores",550,3681,14.9415919587068731
"2020-01-01","Women's clothing stores",2532,26526,9.5453517303777426
"2020-02-01","Women's clothing stores",2797,26526,10.5443715599788886
"2020-02-01","Men's clothing stores",527,3681,14.3167617495245857
"2020-03-01","Men's clothing stores",267,3681,7.2534637326813366
"2020-03-01","Women's clothing stores",1564,26526,5.8961019377214808
"2020-04-01","Women's clothing stores",495,26526,1.8660936439719520
"2020-04-01","Men's clothing stores",90,3681,2.4449877750611247
"2020-05-01","Women's clothing stores",1099,26526,4.1431048782326774
"2020-05-01","Men's clothing stores",155,3681,4.2108122792719370
"2020-06-01","Women's clothing stores",2027,26526,7.6415592249114077
"2020-06-01","Men's clothing stores",303,3681,8.2314588427057865
"2020-07-01","Women's clothing stores",2373,26526,8.9459398326170550
"2020-07-01","Men's clothing stores",405,3681,11.0024449877750611
"2020-08-01","Men's clothing stores",379,3681,10.2961151860907362
"2020-08-01","Women's clothing stores",2386,26526,8.9949483525597527
"2020-09-01","Women's clothing stores",2494,26526,9.4020960566990877
"2020-09-01","Men's clothing stores",401,3681,10.8937788644390111
"2020-10-01","Men's clothing stores",NULL,3681,NULL
"2020-10-01","Women's clothing stores",2634,26526,9.9298801176204479
"2020-11-01","Men's clothing stores",NULL,3681,NULL
"2020-11-01","Women's clothing stores",2726,26526,10.2767096433687703
"2020-12-01","Men's clothing stores",604,3681,16.4085846237435479
"2020-12-01","Women's clothing stores",3399,26526,12.8138430219407374
