"sales_month","moving_avg","records_count"
"1992-01-01",1873.0000000000000000,1
"1992-02-01",1932.0000000000000000,2
"1992-03-01",2089.0000000000000000,3
"1992-04-01",2233.0000000000000000,4
"1992-05-01",2336.8000000000000000,5
"1992-06-01",2351.3333333333333333,6
"1992-07-01",2354.4285714285714286,7
"1992-08-01",2392.2500000000000000,8
"1992-09-01",2410.8888888888888889,9
"1992-10-01",2445.3000000000000000,10
"1992-11-01",2490.8181818181818182,11
"1992-12-01",2651.2500000000000000,12
"1993-01-01",2672.0833333333333333,12
"1993-02-01",2673.2500000000000000,12
"1993-03-01",2676.5000000000000000,12
"1993-04-01",2684.5833333333333333,12
"1993-05-01",2694.6666666666666667,12
"1993-06-01",2705.3333333333333333,12
"1993-07-01",2719.1666666666666667,12
"1993-08-01",2716.5833333333333333,12
"1993-09-01",2721.7500000000000000,12
"1993-10-01",2718.2500000000000000,12
"1993-11-01",2716.3333333333333333,12
"1993-12-01",2695.8333333333333333,12
"1994-01-01",2667.7500000000000000,12
"1994-02-01",2664.8333333333333333,12
"1994-03-01",2674.6666666666666667,12
"1994-04-01",2657.6666666666666667,12
"1994-05-01",2630.9166666666666667,12
"1994-06-01",2622.1666666666666667,12
"1994-07-01",2597.9166666666666667,12
"1994-08-01",2590.5833333333333333,12
"1994-09-01",2573.5833333333333333,12
"1994-10-01",2561.8333333333333333,12
"1994-11-01",2551.4166666666666667,12
"1994-12-01",2548.7500000000000000,12
"1995-01-01",2543.5000000000000000,12
"1995-02-01",2530.1666666666666667,12
"1995-03-01",2516.2500000000000000,12
"1995-04-01",2506.2500000000000000,12
"1995-05-01",2504.8333333333333333,12
"1995-06-01",2497.3333333333333333,12
"1995-07-01",2491.0000000000000000,12
"1995-08-01",2473.3333333333333333,12
"1995-09-01",2469.3333333333333333,12
"1995-10-01",2447.6666666666666667,12
"1995-11-01",2428.4166666666666667,12
"1995-12-01",2391.3333333333333333,12
"1996-01-01",2378.1666666666666667,12
"1996-02-01",2380.1666666666666667,12
"1996-03-01",2363.5000000000000000,12
"1996-04-01",2355.8333333333333333,12
"1996-05-01",2357.2500000000000000,12
"1996-06-01",2358.7500000000000000,12
"1996-07-01",2350.4166666666666667,12
"1996-08-01",2352.6666666666666667,12
"1996-09-01",2344.8333333333333333,12
"1996-10-01",2353.2500000000000000,12
"1996-11-01",2355.5000000000000000,12
"1996-12-01",2353.1666666666666667,12
"1997-01-01",2364.3333333333333333,12
"1997-02-01",2362.5833333333333333,12
"1997-03-01",2375.9166666666666667,12
"1997-04-01",2366.0000000000000000,12
"1997-05-01",2355.7500000000000000,12
"1997-06-01",2341.0833333333333333,12
"1997-07-01",2343.6666666666666667,12
"1997-08-01",2342.0833333333333333,12
"1997-09-01",2341.1666666666666667,12
"1997-10-01",2336.5833333333333333,12
"1997-11-01",2327.5833333333333333,12
"1997-12-01",2318.5000000000000000,12
"1998-01-01",2320.4166666666666667,12
"1998-02-01",2316.5833333333333333,12
"1998-03-01",2303.3333333333333333,12
"1998-04-01",2326.6666666666666667,12
"1998-05-01",2333.5833333333333333,12
"1998-06-01",2338.1666666666666667,12
"1998-07-01",2348.0833333333333333,12
"1998-08-01",2347.5000000000000000,12
"1998-09-01",2345.7500000000000000,12
"1998-10-01",2351.0833333333333333,12
"1998-11-01",2354.8333333333333333,12
"1998-12-01",2361.0000000000000000,12
"1999-01-01",2362.9166666666666667,12
"1999-02-01",2372.5833333333333333,12
"1999-03-01",2398.6666666666666667,12
"1999-04-01",2407.7500000000000000,12
"1999-05-01",2422.3333333333333333,12
"1999-06-01",2434.9166666666666667,12
"1999-07-01",2441.6666666666666667,12
"1999-08-01",2448.3333333333333333,12
"1999-09-01",2457.4166666666666667,12
"1999-10-01",2458.9166666666666667,12
"1999-11-01",2461.6666666666666667,12
"1999-12-01",2462.4166666666666667,12
"2000-01-01",2457.1666666666666667,12
"2000-02-01",2466.1666666666666667,12
"2000-03-01",2479.7500000000000000,12
"2000-04-01",2487.2500000000000000,12
"2000-05-01",2497.5000000000000000,12
"2000-06-01",2510.7500000000000000,12
"2000-07-01",2517.3333333333333333,12
"2000-08-01",2536.7500000000000000,12
"2000-09-01",2562.1666666666666667,12
"2000-10-01",2579.5000000000000000,12
"2000-11-01",2601.0833333333333333,12
"2000-12-01",2620.5833333333333333,12
"2001-01-01",2642.5833333333333333,12
"2001-02-01",2656.1666666666666667,12
"2001-03-01",2656.2500000000000000,12
"2001-04-01",2664.1666666666666667,12
"2001-05-01",2658.9166666666666667,12
"2001-06-01",2654.1666666666666667,12
"2001-07-01",2648.2500000000000000,12
"2001-08-01",2650.0000000000000000,12
"2001-09-01",2628.0000000000000000,12
"2001-10-01",2625.2500000000000000,12
"2001-11-01",2622.1666666666666667,12
"2001-12-01",2621.0833333333333333,12
"2002-01-01",2624.5000000000000000,12
"2002-02-01",2624.9166666666666667,12
"2002-03-01",2633.9166666666666667,12
"2002-04-01",2623.8333333333333333,12
"2002-05-01",2624.5000000000000000,12
"2002-06-01",2622.0833333333333333,12
"2002-07-01",2617.8333333333333333,12
"2002-08-01",2607.5833333333333333,12
"2002-09-01",2605.8333333333333333,12
"2002-10-01",2598.8333333333333333,12
"2002-11-01",2595.0000000000000000,12
"2002-12-01",2603.8333333333333333,12
"2003-01-01",2609.5000000000000000,12
"2003-02-01",2603.8333333333333333,12
"2003-03-01",2590.5000000000000000,12
"2003-04-01",2594.1666666666666667,12
"2003-05-01",2599.0000000000000000,12
"2003-06-01",2603.8333333333333333,12
"2003-07-01",2619.6666666666666667,12
"2003-08-01",2624.5833333333333333,12
"2003-09-01",2645.7500000000000000,12
"2003-10-01",2667.5833333333333333,12
"2003-11-01",2685.1666666666666667,12
"2003-12-01",2713.7500000000000000,12
"2004-01-01",2731.4166666666666667,12
