"sales_month","kind_of_business","sales"
"1998-10-01","Men's clothing stores",865
"1998-10-01","Women's clothing stores",2422
"1998-11-01","Men's clothing stores",955
"1998-11-01","Women's clothing stores",2531
"1998-12-01","Men's clothing stores",1429
"1998-12-01","Women's clothing stores",3630
"1999-01-01","Men's clothing stores",684
"1999-01-01","Women's clothing stores",1745
"1999-10-01","Women's clothing stores",2440
"1999-02-01","Men's clothing stores",610
"1999-02-01","Women's clothing stores",1883
"1999-03-01","Men's clothing stores",708
"1999-03-01","Women's clothing stores",2507
"1999-04-01","Men's clothing stores",812
"1999-04-01","Women's clothing stores",2616
"1999-05-01","Men's clothing stores",803
"1999-05-01","Women's clothing stores",2687
"1999-06-01","Men's clothing stores",791
"1999-06-01","Women's clothing stores",2405
"1999-07-01","Men's clothing stores",723
"1999-07-01","Women's clothing stores",2303
"1999-08-01","Men's clothing stores",789
"1999-08-01","Women's clothing stores",2407
"1999-09-01","Men's clothing stores",714
"1999-09-01","Women's clothing stores",2353
"1999-10-01","Men's clothing stores",802
"1999-11-01","Men's clothing stores",896
"1999-11-01","Women's clothing stores",2564
"1999-12-01","Men's clothing stores",1335
"1999-12-01","Women's clothing stores",3639
"2000-01-01","Men's clothing stores",635
"2000-01-01","Women's clothing stores",1682
"2000-02-01","Men's clothing stores",611
"2000-02-01","Women's clothing stores",1991
"2000-03-01","Men's clothing stores",707
"2000-03-01","Women's clothing stores",2670
"2000-04-01","Men's clothing stores",759
"2000-04-01","Women's clothing stores",2706
"2000-05-01","Men's clothing stores",770
"2000-05-01","Women's clothing stores",2810
"2000-06-01","Men's clothing stores",750
"2000-06-01","Women's clothing stores",2564
"2000-07-01","Men's clothing stores",719
"2000-07-01","Women's clothing stores",2382
"2000-08-01","Men's clothing stores",789
"2000-08-01","Women's clothing stores",2640
"2000-09-01","Men's clothing stores",751
"2000-09-01","Women's clothing stores",2658
"2000-10-01","Men's clothing stores",787
"2000-10-01","Women's clothing stores",2648
"2000-11-01","Men's clothing stores",897
"2000-11-01","Women's clothing stores",2823
"2000-12-01","Men's clothing stores",1332
"2000-12-01","Women's clothing stores",3873
"2001-01-01","Men's clothing stores",620
"2001-01-01","Women's clothing stores",1946
"2001-02-01","Men's clothing stores",588
"2001-02-01","Women's clothing stores",2154
"2001-03-01","Men's clothing stores",681
"2001-03-01","Women's clothing stores",2671
"2001-04-01","Men's clothing stores",675
"2001-04-01","Women's clothing stores",2801
"2001-05-01","Men's clothing stores",710
"2001-05-01","Women's clothing stores",2747
"2001-06-01","Men's clothing stores",702
"2001-06-01","Women's clothing stores",2507
"2001-07-01","Men's clothing stores",626
"2001-07-01","Women's clothing stores",2311
"2001-08-01","Men's clothing stores",743
"2001-08-01","Women's clothing stores",2661
"2001-09-01","Men's clothing stores",610
"2001-09-01","Women's clothing stores",2394
"2001-10-01","Men's clothing stores",704
"2001-10-01","Women's clothing stores",2615
"2001-11-01","Men's clothing stores",793
"2001-11-01","Women's clothing stores",2786
"2001-12-01","Men's clothing stores",1173
"2001-12-01","Women's clothing stores",3860
"2002-01-01","Men's clothing stores",540
"2002-01-01","Women's clothing stores",1987
"2002-02-01","Men's clothing stores",534
"2002-02-01","Women's clothing stores",2159
"2002-03-01","Men's clothing stores",657
"2002-03-01","Women's clothing stores",2779
"2002-04-01","Men's clothing stores",632
"2002-04-01","Women's clothing stores",2680
"2002-05-01","Men's clothing stores",665
