"sales_month","kind_of_business","sales","total_sales","pctg_total"
"2018-01-01","Women's clothing stores",2391,2919,81.9116135662898253
"2018-02-01","Men's clothing stores",556,3277,16.9667378700030516
"2018-02-01","Women's clothing stores",2721,3277,83.0332621299969484
"2018-03-01","Men's clothing stores",689,4234,16.2730278696268304
"2018-03-01","Women's clothing stores",3545,4234,83.7269721303731696
"2018-04-01","Men's clothing stores",737,4166,17.6908305328852616
"2018-04-01","Women's clothing stores",3429,4166,82.3091694671147384
"2018-05-01","Men's clothing stores",775,4580,16.9213973799126638
"2018-05-01","Women's clothing stores",3805,4580,83.0786026200873362
"2018-06-01","Men's clothing stores",696,3994,17.4261392088132198
"2018-06-01","Women's clothing stores",3298,3994,82.5738607911867802
"2018-07-01","Men's clothing stores",588,3796,15.4899894625922023
"2018-07-01","Women's clothing stores",3208,3796,84.5100105374077977
"2018-08-01","Men's clothing stores",637,4010,15.8852867830423940
"2018-08-01","Women's clothing stores",3373,4010,84.1147132169576060
"2018-09-01","Men's clothing stores",691,3869,17.8599121219953476
"2018-09-01","Women's clothing stores",3178,3869,82.1400878780046524
"2018-10-01","Men's clothing stores",679,4200,16.1666666666666667
"2018-10-01","Women's clothing stores",3521,4200,83.8333333333333333
"2018-11-01","Men's clothing stores",742,4899,15.1459481526842213
"2018-11-01","Women's clothing stores",4157,4899,84.8540518473157787
"2018-12-01","Men's clothing stores",890,5437,16.3693213169027037
"2018-12-01","Women's clothing stores",4547,5437,83.6306786830972963
"2019-01-01","Men's clothing stores",585,3096,18.8953488372093023
"2019-01-01","Women's clothing stores",2511,3096,81.1046511627906977
"2019-02-01","Men's clothing stores",514,3194,16.0926737633061991
"2019-02-01","Women's clothing stores",2680,3194,83.9073262366938009
"2019-03-01","Men's clothing stores",642,4227,15.1880766501064585
"2019-03-01","Women's clothing stores",3585,4227,84.8119233498935415
"2019-04-01","Men's clothing stores",737,4341,16.9776549182216079
"2019-04-01","Women's clothing stores",3604,4341,83.0223450817783921
"2019-05-01","Men's clothing stores",747,4554,16.4031620553359684
"2019-05-01","Women's clothing stores",3807,4554,83.5968379446640316
"2019-06-01","Men's clothing stores",645,3917,16.4666836864947664
"2019-06-01","Women's clothing stores",3272,3917,83.5333163135052336
"2019-07-01","Men's clothing stores",581,3842,15.1223321186881832
"2019-07-01","Women's clothing stores",3261,3842,84.8776678813118168
"2019-08-01","Men's clothing stores",617,3942,15.6519533231861999
"2019-08-01","Women's clothing stores",3325,3942,84.3480466768138001
"2019-09-01","Men's clothing stores",662,3742,17.6910742918225548
"2019-09-01","Women's clothing stores",3080,3742,82.3089257081774452
"2019-10-01","Men's clothing stores",674,4064,16.5846456692913386
"2019-10-01","Women's clothing stores",3390,4064,83.4153543307086614
"2019-11-01","Men's clothing stores",714,4564,15.6441717791411043
"2019-11-01","Women's clothing stores",3850,4564,84.3558282208588957
"2019-12-01","Men's clothing stores",863,5359,16.1037506997574174
"2019-12-01","Women's clothing stores",4496,5359,83.8962493002425826
"2020-01-01","Men's clothing stores",550,3082,17.8455548345230370
"2020-01-01","Women's clothing stores",2532,3082,82.1544451654769630
"2020-02-01","Men's clothing stores",527,3324,15.8543922984356197
"2020-02-01","Women's clothing stores",2797,3324,84.1456077015643803
"2020-03-01","Men's clothing stores",267,1831,14.5821955215729110
"2020-03-01","Women's clothing stores",1564,1831,85.4178044784270890
"2020-04-01","Men's clothing stores",90,585,15.3846153846153846
"2020-04-01","Women's clothing stores",495,585,84.6153846153846154
"2020-05-01","Men's clothing stores",155,1254,12.3604465709728868
"2020-05-01","Women's clothing stores",1099,1254,87.6395534290271132
"2020-06-01","Men's clothing stores",303,2330,13.0042918454935622
"2020-06-01","Women's clothing stores",2027,2330,86.9957081545064378
"2020-07-01","Men's clothing stores",405,2778,14.5788336933045356
"2020-07-01","Women's clothing stores",2373,2778,85.4211663066954644
"2020-08-01","Men's clothing stores",379,2765,13.7070524412296564
"2020-08-01","Women's clothing stores",2386,2765,86.2929475587703436
"2020-09-01","Men's clothing stores",401,2895,13.8514680483592401
"2020-09-01","Women's clothing stores",2494,2895,86.1485319516407599
"2020-10-01","Men's clothing stores",NULL,2634,NULL
"2020-10-01","Women's clothing stores",2634,2634,100.0000000000000000
"2020-11-01","Men's clothing stores",NULL,2726,NULL
"2020-11-01","Women's clothing stores",2726,2726,100.0000000000000000
"2020-12-01","Men's clothing stores",604,4003,15.0886834873844617
"2020-12-01","Women's clothing stores",3399,4003,84.9113165126155383
