"sales_month","sales","moving_avg","records_count"
"2020-01-01",2532,3406.8333333333333333,12
"2017-07-01",3199,3395.5000000000000000,12
"2012-12-01",4693,3482.8333333333333333,12
"1995-01-01",1723,2543.5000000000000000,12
"1995-09-01",2370,2469.3333333333333333,12
"2020-04-01",495,2989.0833333333333333,12
"2003-01-01",2055,2609.5000000000000000,12
"2017-10-01",3299,3385.6666666666666667,12
"2010-04-01",3334,3045.0000000000000000,12
"2008-07-01",2972,3318.8333333333333333,12
"1997-01-01",1699,2364.3333333333333333,12
"2010-09-01",3061,3078.3333333333333333,12
"2003-10-01",2793,2667.5833333333333333,12
"2018-12-01",4547,3431.0833333333333333,12
"2001-06-01",2507,2654.1666666666666667,12
"2003-11-01",2951,2685.1666666666666667,12
"2013-06-01",3273,3453.8333333333333333,12
"2000-10-01",2648,2579.5000000000000000,12
"2013-04-01",3511,3458.0000000000000000,12
"1993-01-01",2123,2672.0833333333333333,12
"2007-04-01",3531,3296.9166666666666667,12
"2015-09-01",3164,3439.7500000000000000,12
"2009-07-01",2716,3031.7500000000000000,12
"2017-09-01",3122,3383.5833333333333333,12
"2016-06-01",3240,3437.5833333333333333,12
"2019-07-01",3261,3458.0000000000000000,12
"2008-09-01",3064,3304.3333333333333333,12
"2005-05-01",3164,2964.9166666666666667,12
"2000-01-01",1682,2457.1666666666666667,12
"1994-12-01",4138,2548.7500000000000000,12
"1997-10-01",2358,2336.5833333333333333,12
"2000-02-01",1991,2466.1666666666666667,12
"1997-09-01",2265,2341.1666666666666667,12
"2019-10-01",3390,3434.9166666666666667,12
"2017-06-01",3341,3390.6666666666666667,12
"2009-01-01",2285,3180.6666666666666667,12
"2004-10-01",2990,2887.6666666666666667,12
"1997-05-01",2429,2355.7500000000000000,12
"1995-08-01",2326,2473.3333333333333333,12
"1994-11-01",2798,2551.4166666666666667,12
"2015-12-01",4910,3422.0833333333333333,12
"1994-01-01",1786,2667.7500000000000000,12
"2017-04-01",3624,3381.4166666666666667,12
"1994-07-01",2248,2597.9166666666666667,12
"2020-10-01",2634,2395.5833333333333333,12
"2007-03-01",3499,3284.2500000000000000,12
"2016-08-01",3388,3434.6666666666666667,12
"2014-06-01",3183,3454.6666666666666667,12
"2000-03-01",2670,2479.7500000000000000,12
"2008-05-01",3603,3323.9166666666666667,12
"2020-11-01",2726,2301.9166666666666667,12
"2005-06-01",3045,2987.2500000000000000,12
"2004-05-01",3005,2822.9166666666666667,12
"2001-08-01",2661,2650.0000000000000000,12
"2010-03-01",3293,3039.1666666666666667,12
"2015-07-01",3181,3452.6666666666666667,12
"2013-03-01",3733,3464.7500000000000000,12
"2012-09-01",3339,3461.1666666666666667,12
"2004-03-01",2915,2782.0000000000000000,12
